# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,
# Thu Jun 13 15:30:11 2019,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# CONSTRAINT:  where (koi_disposition like 'CAN%'),,,,,,,,,,,,,,
# CONSTRAINT:  order by koi_disposition asc,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,
# COLUMN kepoi_name:     KOI Name,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days],,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,
# COLUMN koi_teq:        Equilibrium Temperature [K],,,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,,
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux],,,,,,,,,,,,,,
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
kepid,kepoi_name,koi_period,koi_period_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err1,koi_srad,koi_srad_err1
1025986,K07621.01,275.07365,0.03928,1.86,0.33,303,2,0.92,5604,84,4.226,0.208,1.187,0.207
1026957,K00958.01,21.76129812,1.727E-05,2.53,0.16,486,13.18,3,4859,97,4.612,0.015,0.72,0.047
1161345,K00984.01,4.28746668,1.524E-05,2.29,0.22,942,186.31,56.73,5296,105,4.576,0.015,0.815,0.08
1164301,K04921.01,95.688682,0.003599,28.41,1.13,1046,283.07,37.83,5040,60,2.681,0.029,13.056,0.52
1293379,K06253.01,27.556452,0.002928,1.4,0.54,531,18.86,22.4,5509,184,4.565,0.024,0.836,0.322
1429589,K04923.01,38.168652,0.001068,1.4,0.67,696,55.36,80.02,6164,165,4.117,0.259,1.465,0.708
1431122,K00994.01,4.2989201,2.01E-05,2.12,0.27,1046,283.62,100.01,5300,87,4.385,0.132,0.986,0.124
1432789,K00992.02,4.57834367,6.382E-05,1.44,0.23,1206,499.41,210.4,5782,78,4.28,0.137,1.22,0.196
1717722,K03145.02,0.977311489,4.631E-06,1.06,0.12,1331,737.36,293.96,4805,144,4.633,0.027,0.688,0.079
1717722,K03145.01,4.53702121,2.498E-05,1.66,0.19,798,95.61,38.11,4805,144,4.633,0.027,0.688,0.079
1718189,K00993.03,86.723653,0.001758,1.43,0.39,391,5.5,4.24,5830,146,4.54,0.044,0.876,0.234
1718958,K04053.01,1.41975831,1.229E-05,0.85,0.13,1700,1968.38,836.24,5925,107,4.394,0.084,1.035,0.157
1721157,K04644.01,3.44928111,2.122E-05,1.23,0.16,966,206.55,91.39,5119,154,4.591,0.024,0.781,0.103
1723078,K07624.01,330.025002,0.007352,5.92,0.79,478,12.36,5.55,6126,185,3.578,0.345,3.466,0.466
1724719,K04212.02,10.0989634,0.0001171,1.03,0.18,1016,251.36,118.44,6174,74,4.244,0.125,1.318,0.243
1849702,K02538.01,39.8312536,0.0002066,1.46,0.1,420,7.33,1.68,5026,100,4.58,0.024,0.759,0.05
1865864,K04926.01,69.089357,0.002371,1.47,0.13,332,2.87,0.92,4848,131,4.581,0.063,0.698,0.062
1871483,K06256.01,14.137062,0.0001584,1.37,0.19,568,24.62,11.37,4861,155,4.574,0.056,0.709,0.096
1872821,K02351.01,10.27380957,5.929E-05,1.68,0.16,799,96.27,24.4,5806,69,4.528,0.023,0.899,0.084
1996180,K02534.02,5.42204257,6.847E-05,1.39,0.26,1222,527.11,272.08,6123,122,4.263,0.137,1.263,0.232
2019199,K04931.01,579.81521,0.01732,2.71,1.06,218,0.53,0.62,5822,160,4.449,0.07,0.969,0.377
2019477,K06093.01,20.5736113,0.0008822,3.86,0.35,1197,484.82,131.14,5440,87,3.404,0.289,4.524,0.416
2019477,K06093.02,27.2497521,0.0007038,4.49,0.41,1090,333.56,90.22,5440,87,3.404,0.289,4.524,0.416
2161536,K02130.01,16.85592593,6.43E-05,1.7,0.08,408,6.52,1.18,3967,79,4.674,0.032,0.587,0.026
2161949,K06259.01,4.78113942,6.037E-05,1.14,0.31,1130,386.46,316.02,5683,154,4.326,0.17,1.115,0.31
2161949,K06259.02,7.18864064,7.758E-05,1.3,0.36,987,223.87,183.07,5683,154,4.326,0.17,1.115,0.31
2162635,K01032.01,1500.1406772,0,18.35,5.02,206,0.42,0.31,5009,81,3.755,0.091,2.283,0.625
2164169,K01029.01,32.3122867,0.0001736,4.84,0.79,699,56.49,24.19,5821,79,4.108,0.182,1.494,0.244
2283362,K06262.01,0.673141323,2.141E-06,1.29,0.44,1834,2675.15,2685.11,5461,156,4.552,0.025,0.858,0.29
2284957,K08085.01,419.2615,0.02931,1.7,0.46,256,1.02,0.82,5979,161,4.379,0.17,0.975,0.266
2299738,K07628.01,1.8134378,2.643E-05,0.69,0.09,1158,423.67,176.71,5094,151,4.618,0.04,0.7,0.086
2301068,K06263.01,8.60965352,7.02E-05,3.33,0.61,1550,1365.41,838.61,5418,191,3.447,0.884,4.233,0.785
2302997,K07630.01,16.2982201,0.0002292,0.78,0.05,388,5.38,1.15,3905,78,4.736,0.03,0.521,0.031
2303903,K04709.01,3.70858595,2.26E-05,1.33,0.25,995,231.84,137.93,5420,162,4.596,0.038,0.771,0.147
2305866,K02610.01,24.1073172,0.0002662,2.74,0.65,1065,304.22,216.75,6585,182,3.813,0.448,2.517,0.602
2305866,K02610.02,115.230655,0.002097,4.02,0.96,632,37.8,26.92,6585,182,3.813,0.448,2.517,0.602
2307199,K00151.01,13.4471791,1.247E-05,5.24,1.64,848,122.34,112.28,6276,169,4.405,0.087,1.041,0.326
2310993,K04938.01,55.180772,0.001662,2.37,0.74,531,18.79,17.24,6306,174,4.426,0.065,1.076,0.335
2422820,K06267.01,13.8911152,0.0002016,1.12,0.18,674,48.8,25.5,5472,179,4.499,0.115,0.79,0.124
2437505,K02671.01,21.47642727,2.444E-05,59.5,0,655,43.52,0,5780,,4.438,,1,
2437653,K04940.01,84.6405853,0.0009678,1.72,0.14,271,1.27,0.41,4386,130,4.629,0.057,0.63,0.052
2438513,K01944.01,12.18420006,4.127E-05,2.59,0.39,819,106.52,44.98,5771,104,4.374,0.105,1.068,0.161
2443393,K02603.01,73.711039,0.001027,1.77,0.35,563,23.81,12.68,6374,113,4.193,0.13,1.502,0.293
2444412,K00103.01,14.91095177,1.275E-05,2.62,0.33,694,54.87,19.92,5650,101,4.5,0.045,0.899,0.114
2446113,K00379.02,23.1375919,0.0002173,1.83,0.32,837,115.86,58.29,6078,122,4.094,0.174,1.683,0.3
2449245,K06274.01,18.1772927,0.0004901,1.5,0.47,737,69.62,64.86,6158,171,4.455,0.052,1.026,0.324
2449431,K02009.01,86.7490807,0.0005499,2.23,0.31,398,5.94,2.35,5579,111,4.419,0.1,0.97,0.132
2555080,K04943.01,15.2024426,0.0007521,113.97,32.23,2955,18026.22,14441.06,3984,91,1.461,0.029,41.367,11.698
2557350,K06276.01,3.09872834,2.533E-05,0.64,0.05,579,26.6,6.64,3628,58,4.842,0.044,0.41,0.034
2558163,K04655.01,17.543847,0.001022,1.15,0.3,658,44.42,33.98,5957,159,4.579,0.044,0.791,0.206
2569995,K07634.01,80.84069,0.004623,15.11,3.13,500,14.83,9.8,5511,183,4.069,0.368,1.597,0.331
2572029,K04581.01,6.0059966,0.0001344,0.73,0.22,1130,385.87,346.44,6103,165,4.331,0.115,1.16,0.355
2574338,K01030.01,9.22961384,4.278E-05,2.79,0.47,1021,257.11,111.43,6320,75,4.347,0.032,1.252,0.212
2576962,K04333.01,309.25581,0.01495,2.18,1.04,287,1.61,2.24,6060,148,4.419,0.063,1.057,0.502
2577353,K07635.01,60.458443,0.0018,1.59,0.46,511,16.14,13.83,5865,158,4.297,0.175,1.181,0.345
2579043,K02064.01,6.31219171,2.202E-05,2.17,0.7,1096,342.04,324.93,6322,169,4.426,0.054,1.075,0.349
2581316,K03681.02,10.51421162,5.536E-05,1.25,0.23,943,187.06,91.05,6259,99,4.385,0.034,1.167,0.212
2696205,K07636.01,0.702739679,4.615E-06,0.73,0.11,1765,2292.96,1081.68,5269,158,4.508,0.072,0.836,0.12
2715695,K03077.02,7.55842923,8.603E-05,1.46,0.11,694,54.85,16.15,4791,143,4.577,0.045,0.742,0.054
2715695,K03077.01,4.09578199,2.002E-05,1.64,0.12,851,124.3,36.62,4791,143,4.577,0.045,0.742,0.054
2716801,K03053.02,9.4767057,0.0001668,1.38,0.43,841,118.13,109.1,5911,177,4.519,0.048,0.914,0.281
2716979,K06291.01,8.8324193,0.00012,0.98,0.33,999,234.99,227.94,6060,161,4.29,0.172,1.133,0.376
2717158,K03459.01,13.2226149,0.0001685,1.75,0.46,740,71.11,56.08,5931,161,4.545,0.044,0.863,0.231
2718778,K02489.01,3.92453009,1.673E-05,1.82,0.45,1074,314.25,237.87,5776,181,4.554,0.042,0.849,0.209
2832589,K01942.02,2.433703498,8.972E-06,1.66,0.24,1112,362.64,171.67,5251,158,4.592,0.032,0.778,0.112
2832589,K01942.01,10.84969477,2.777E-05,2.67,0.38,676,49.3,23.34,5251,158,4.592,0.032,0.778,0.112
2834463,K06293.01,5.88836941,3.234E-05,1.21,0.39,1125,379.27,362.39,6243,169,4.39,0.087,1.084,0.353
2834805,K07638.01,25.0032023,0.0002648,1.47,0.33,837,116.27,79.06,6148,167,4.055,0.234,1.685,0.385
2837111,K01110.02,3.71840884,7.617E-05,0.84,0.28,1184,464.19,444.36,5982,160,4.493,0.054,0.96,0.314
2849140,K03416.01,11.8237228,0.000239,1.25,0.25,703,57.62,35.26,5559,149,4.578,0.032,0.803,0.164
2852810,K06097.04,126.505657,0.007869,1.51,0.82,528,18.42,30.03,7092,195,4.176,0.144,1.525,0.818
2852810,K06097.02,88.433122,0.006103,1.7,0.91,595,29.68,48.41,7092,195,4.176,0.144,1.525,0.818
2852810,K06097.03,282.34315,0.01091,2.35,1.25,404,6.31,10.3,7092,195,4.176,0.144,1.525,0.818
2852941,K04298.01,2.89494709,2.251E-05,1.16,0.34,1919,3204.25,2992.58,7087,250,4.137,0.17,1.684,0.501
2853029,K03259.01,72.9332762,0.0008081,2.45,0.22,389,5.44,1.44,5316,85,4.47,0.07,0.902,0.081
2853446,K01118.01,7.37290344,2.732E-05,2.67,0.42,1004,240.11,104.98,5973,107,4.371,0.099,1.07,0.168
2853780,K02081.01,6.2141496,3.047E-05,4.27,1.26,1506,1216.48,1125.91,5295,184,3.617,0.84,3.152,0.933
2854181,K02232.02,12.834857,0.0001206,1.73,0.22,755,76.96,27.12,5492,82,4.389,0.105,1.016,0.131
2854181,K02232.01,101.1323475,0.0005876,3.87,0.5,380,4.91,1.73,5492,82,4.389,0.105,1.016,0.131
2857607,K04659.01,41.8681996,0.0007404,1.25,0.33,492,13.89,10.59,5852,140,4.559,0.035,0.837,0.223
2859893,K04418.01,333.03842,0.01064,3.19,1.16,247,0.89,0.96,5743,171,4.534,0.028,0.903,0.328
2860656,K04857.01,4.11497357,4.457E-05,1.17,0.39,1137,395.27,402.64,6011,189,4.507,0.04,0.927,0.311
2860866,K01103.01,90.1240507,0.0004433,7.12,2.41,485,13.09,13.03,6520,180,4.375,0.056,1.215,0.41
2861126,K04957.02,4.98792404,3.257E-05,0.73,0.06,485,13.07,3.5,3606,57,4.859,0.045,0.395,0.036
2861298,K04958.01,581.729006,0.009361,2.74,1.38,308,2.12,3.38,5765,202,3.837,0.458,2.005,1.008
2970670,K06299.01,0.947554749,4.034E-06,0.67,0.08,1633,1680.03,543.9,5508,74,4.569,0.011,0.84,0.101
