# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 30 20:29:12 2018
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
# COLUMN pl_radslim:     Planet Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
#
loc_rowid,pl_name,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_kepflag,pl_nnotes,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_disc,hd_name,hip_name
1,11 Com b,11 Com,b,Radial Velocity,326.03000000,0.32000000,-0.32000000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,,,,,,,,,0,0,110.62,9.61,-11.63,0,4.740,,0,V (Johnson),,,,4742.00,100.00,-100.00,0,2.70,0.30,-0.30,0,19.00,2.00,-2.00,0,,,,,,,,,,,,,2007,HD 107383,HIP 60202
2,11 UMi b,11 UMi,b,Radial Velocity,516.21997000,3.20000000,-3.20000000,0,0.080000,0.030000,-0.030000,0,,,,0,14.74000,2.50000,-2.50000,0,,,,0,,,,0,0,0,119.47,6.22,-6.95,0,5.016,0.009,0,V (Johnson),4.723,,0,4213.00,46.00,-46.00,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,14.74000,2.50000,-2.50000,0,,,,0,,,,0,2009,HD 136726,HIP 74793
3,14 And b,14 And,b,Radial Velocity,185.84000000,0.23000000,-0.23000000,0,0.000000,,,0,,,,,4.80000,,,0,,,,,,,,,0,0,76.39,3.93,-4.38,0,,,,,,,,4813.00,20.00,-20.00,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,,,,,,,,,,,,,2008,HD 221345,HIP 116076
4,14 Her b,14 Her,b,Radial Velocity,1773.40002000,2.50000000,-2.50000000,0,0.370000,0.000000,0.000000,0,,,,0,4.66000,0.15000,-0.15000,0,,,,0,,,,0,0,0,18.15,0.19,-0.20,0,6.610,0.020,0,V (Johnson),6.325,,0,5338.00,25.00,-25.00,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,4.66000,0.15000,-0.15000,0,,,,0,,,,0,2002,HD 145675,HIP 79248
5,16 Cyg B b,16 Cyg B,b,Radial Velocity,798.50000000,1.00000000,-1.00000000,0,0.680000,0.020000,-0.020000,0,,,,0,1.78000,0.08000,-0.08000,0,,,,0,,,,0,0,0,21.41,0.23,-0.23,0,6.250,,0,V (Johnson),6.021,,0,5750.00,8.00,-8.00,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,1.78000,0.08000,-0.08000,0,,,,0,,,,0,1996,HD 186427,HIP 96901
6,18 Del b,18 Del,b,Radial Velocity,993.30000000,3.20000000,-3.20000000,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,,,,,,,,,0,0,73.10,3.56,-3.94,0,,,,,,,,4979.00,18.00,-18.00,0,2.30,,,0,8.50,,,0,,,,,,,,,,,,,2008,HD 199665,HIP 103527
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,,,,,,,,,,,,,8.00000,1.00000,-1.00000,0,,,,,,,,,0,0,145.00,14.00,-14.00,0,,,,,,,,4060.00,300.00,-200.00,0,0.85,0.20,-0.10,0,,,,,8.00000,1.00000,-1.00000,0,,,,,,,,,2008,,
8,24 Boo b,24 Boo,b,Radial Velocity,30.35060000,0.00780000,-0.00770000,0,0.042000,0.048000,-0.029000,0,,,,0,0.91000,0.13000,-0.10000,0,,,,0,,,,0,0,0,97.75,5.33,-5.33,0,5.580,,0,V (Johnson),,,,4893.00,15.00,-15.00,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,,,,0,,,,0,,,,0,2018,HD 127243,HIP 70791
9,24 Sex b,24 Sex,b,Radial Velocity,452.80000000,2.10000000,-4.50000000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,,,,,,,,,0,0,74.79,4.57,-5.21,0,6.441,0.010,0,V (Johnson),,,,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,,,,,,,,,,,,,2010,HD 90043,HIP 50887
10,24 Sex c,24 Sex,c,Radial Velocity,883.00000000,32.40000000,-13.80000000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,,,,,,,,,0,0,74.79,4.57,-5.21,0,6.441,0.010,0,V (Johnson),,,,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,,,,,,,,,,,,,2010,HD 90043,HIP 50887
11,2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,Imaging,,,,,,,,,,,,,24.50000,2.50000,-2.50000,0,,,,,,,,,0,0,36.00,4.00,-4.00,0,14.240,0.070,0,V (Johnson),,,,3530.00,50.00,-50.00,0,0.40,0.05,-0.05,0,,,,,24.50000,2.50000,-2.50000,0,,,,,,,,,2013,,
12,2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,Imaging,,,,,,,,,,,,,13.90000,1.10000,-1.10000,0,1.440,0.030,-0.030,0,,,,,0,0,39.40,2.60,-2.60,0,,,,,,,,3064.00,76.00,-76.00,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,13.90000,1.10000,-1.10000,0,16.141,0.336,-0.336,0,0.148,0.003,-0.003,0,2015,,
13,2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,Imaging,,,,,,,,,,,,,7.50000,2.50000,-2.50000,0,,,,,,,,,0,0,140.00,,,0,,,,,,,,,,,,0.02,,,0,,,,,7.50000,2.50000,-2.50000,0,,,,,,,,,2010,,
